Survived,Pclass,Sex,Age,Embarked,Surname,Embarked_rate,Pclass_rate,CatFare,Alone,FamilySize,isCabin,Title
1,1,1,2,1,Cumings,0.9,0.9,3,1,1,1,1
0,1,0,3,0,McCarthy,0.2,0.3,2,0,0,1,0
0,3,0,0,0,Palsson,0.2,0.2,1,1,4,0,2
0,3,1,0,0,Palsson,0.6,0.4,1,1,4,0,1
0,3,1,0,0,Palsson,0.6,0.4,1,1,4,0,1
0,3,1,1,0,Palsson,0.6,0.4,1,1,4,0,1
1,3,1,0,0,Sandstrom,0.6,0.4,1,1,2,1,1
1,3,1,1,0,Sandstrom,0.6,0.4,1,1,2,1,1
1,1,1,3,0,Bonnell,0.6,0.9,1,0,0,1,1
0,3,0,2,0,Andersson,0.2,0.2,2,1,6,0,0
0,3,0,2,0,Andersson,0.2,0.2,2,1,6,0,0
1,3,1,1,0,Andersson,0.6,0.4,0,1,6,0,1
1,3,1,1,0,Andersson,0.6,0.4,0,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
1,3,0,1,0,Andersson,0.2,0.2,0,0,0,0,0
1,3,0,1,0,Andersson,0.2,0.2,0,0,0,0,0
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,2,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,2,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,0,0,0,Andersson,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Andersson,0.2,0.2,2,1,6,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,1,2,2,Rice,0.8,0.4,2,1,5,0,1
1,2,0,0,0,Williams,0.2,0.3,0,0,0,0,0
0,1,0,3,1,Williams,0.4,0.3,3,1,1,0,0
0,3,0,1,0,Williams,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Williams,0.2,0.2,1,0,0,0,0
0,3,1,1,0,Vander Planke,0.6,0.4,1,1,1,0,1
0,3,1,1,0,Vander Planke,0.6,0.4,1,1,2,0,1
0,3,0,0,0,Vander Planke,0.2,0.2,1,1,2,0,0
1,3,1,0,2,McGowan,0.8,0.4,0,0,0,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,1,0,1,0,Fortune,0.2,0.3,3,1,5,1,0
0,1,0,1,0,Fortune,0.2,0.3,3,1,5,1,0
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
0,1,0,3,0,Fortune,0.2,0.3,3,1,5,1,0
0,1,0,3,0,Fortune,0.2,0.3,3,1,5,1,0
1,1,1,2,1,Spencer,0.9,0.9,3,1,1,1,1
1,2,1,0,1,Laroche,0.9,1.0,2,1,3,0,1
1,2,1,1,1,Laroche,0.9,1.0,2,1,3,0,1
0,2,0,1,1,Laroche,0.4,0.3,2,1,3,0,0
0,3,0,0,0,Rogers,0.2,0.2,0,0,0,0,0
0,3,0,0,2,Lennon,0.1,0.2,1,1,1,0,0
0,3,0,1,1,Samaan,0.4,0.2,1,1,2,0,0
0,3,0,0,1,Samaan,0.4,0.2,1,1,2,0,0
1,2,1,1,0,Faunthorpe,0.6,1.0,1,1,1,0,1
0,1,0,4,1,Ostby,0.4,0.3,3,1,1,1,0
1,2,1,0,0,West,0.6,1.0,1,1,3,0,1
0,2,0,2,0,West,0.2,0.3,1,1,3,0,0
1,2,1,2,0,West,0.6,1.0,1,1,3,0,1
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,1,0,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,1,0,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,1,2,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,1,2,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,0
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,0
1,3,0,0,1,Moubarek,0.4,0.2,0,1,2,0,2
1,3,0,0,1,Moubarek,0.4,0.2,0,1,2,0,2
0,3,0,1,0,Kink,0.2,0.2,0,1,2,0,0
0,3,0,1,1,Chronopoulos,0.4,0.2,0,1,1,0,0
1,2,0,0,0,Caldwell,0.2,0.3,2,1,2,0,2
1,2,1,1,0,Caldwell,0.6,1.0,2,1,2,0,1
0,1,0,1,0,Carrau,0.2,0.3,2,0,0,0,0
0,3,0,0,0,Ford,0.2,0.2,2,1,4,0,0
0,3,0,0,0,Ford,0.2,0.2,2,1,4,0,0
0,3,1,0,0,Ford,0.6,0.4,2,1,4,0,1
0,3,1,0,0,Ford,0.6,0.4,2,1,4,0,1
0,3,1,1,0,Ford,0.6,0.4,2,1,4,0,1
0,3,1,1,0,Ford,0.6,0.4,2,1,4,0,1
0,3,1,2,0,Ford,0.6,0.4,2,1,4,0,1
0,3,1,2,0,Ford,0.6,0.4,2,1,4,0,1
0,1,0,2,0,Chaffee,0.2,0.3,3,1,1,1,0
0,3,0,1,0,Dean,0.2,0.2,1,1,3,0,0
0,3,0,1,0,Dean,0.2,0.2,1,1,3,0,0
1,3,0,0,0,Dean,0.2,0.2,1,1,3,0,2
1,3,0,0,0,Dean,0.2,0.2,1,1,3,0,2
1,1,0,1,1,Greenfield,0.4,0.3,3,1,1,1,0
0,1,0,1,0,White,0.2,0.3,3,1,1,1,0
0,1,0,3,0,White,0.2,0.3,3,1,1,1,0
0,3,0,2,0,Johansson,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Johansson,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Johansson,0.2,0.2,0,0,0,0,0
0,3,0,0,0,Moore,0.2,0.2,0,0,0,0,0
1,3,1,2,1,Peter,0.9,0.4,1,1,2,1,1
1,3,1,1,1,Peter,0.9,0.4,1,1,2,0,1
0,3,1,2,0,Robins,0.6,0.4,0,1,1,0,1
1,2,1,1,0,Weisz,0.6,1.0,1,1,1,0,1
0,3,1,0,1,Boulos,0.9,0.4,0,1,2,0,1
0,3,0,0,1,Boulos,0.4,0.2,0,0,0,0,0
0,3,1,0,1,Boulos,0.9,0.4,0,1,2,0,1
0,2,0,1,0,Andrew,0.2,0.3,0,0,0,0,0
0,3,0,2,0,van Billiard,0.2,0.2,0,1,2,0,0
0,3,0,2,0,van Billiard,0.2,0.2,0,1,2,0,0
0,3,0,1,0,Olsen,0.2,0.2,0,0,0,0,0
0,3,0,2,0,Olsen,0.2,0.2,0,1,1,0,0
0,3,0,1,0,Olsen,0.2,0.2,1,0,0,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,2
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,2
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,2
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,2
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,1,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,1,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,1,0,Sage,0.6,0.4,3,1,10,0,1
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,1,0,Sage,0.2,0.2,3,1,10,0,0
0,3,0,0,0,Sage,0.2,0.2,3,1,10,0,0
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,1,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,1,0,Sage,0.6,0.4,3,1,10,0,1
0,3,1,0,0,Sage,0.6,0.4,3,1,10,0,1
0,3,0,2,0,Cribb,0.2,0.2,1,1,1,0,0
1,2,1,2,0,Watt,0.6,1.0,1,0,0,0,1
1,3,0,0,0,Goldsmith,0.2,0.2,1,1,2,0,2
1,3,1,1,0,Goldsmith,0.6,0.4,1,1,2,0,1
0,3,0,2,0,Goldsmith,0.2,0.2,1,1,2,0,0
0,1,0,3,1,Smith,0.4,0.3,2,0,0,1,0
0,1,0,3,1,Smith,0.4,0.3,2,0,0,1,0
0,3,0,0,2,Smith,0.1,0.2,0,0,0,0,0
0,3,0,0,2,Smith,0.1,0.2,0,0,0,0,0
0,1,0,1,0,Smith,0.2,0.3,1,0,0,1,0
0,1,0,2,0,Smith,0.2,0.3,1,0,0,1,0
1,2,1,2,0,Smith,0.6,1.0,0,0,0,0,1
1,2,1,2,0,Smith,0.6,1.0,0,0,0,0,1
0,3,0,1,0,Klasen,0.2,0.2,0,1,2,0,0
0,3,0,1,0,Klasen,0.2,0.2,0,1,2,0,0
0,3,0,0,0,Lefebre,0.2,0.2,1,1,4,0,2
0,3,1,0,0,Lefebre,0.6,0.4,1,1,4,0,1
0,3,1,1,0,Lefebre,0.6,0.4,1,1,4,0,1
0,3,1,0,0,Lefebre,0.6,0.4,1,1,4,0,1
1,2,0,0,0,Becker,0.2,0.3,2,1,3,1,2
1,2,0,0,0,Becker,0.2,0.3,2,1,3,1,2
1,2,1,0,0,Becker,0.6,1.0,2,1,3,1,1
1,2,1,0,0,Becker,0.6,1.0,2,1,3,1,1
1,3,1,0,0,Kink-Heilmann,0.6,0.4,1,1,2,0,1
1,3,1,0,0,Kink-Heilmann,0.6,0.4,1,1,2,0,1
1,1,1,2,1,Brown,0.9,0.9,1,0,0,1,1
1,1,1,2,1,Brown,0.9,0.9,1,0,0,1,1
1,2,1,1,0,Brown,0.6,1.0,0,0,0,1,1
1,2,1,1,0,Brown,0.6,1.0,0,0,0,1,1
1,2,1,2,0,Brown,0.6,1.0,2,1,2,0,1
1,2,1,2,0,Brown,0.6,1.0,2,1,2,0,1
0,2,0,3,0,Brown,0.2,0.3,2,1,2,0,0
0,2,0,3,0,Brown,0.2,0.3,2,1,2,0,0
1,3,1,0,2,Carr,0.8,0.4,0,0,0,0,1
0,3,0,1,2,Kiernan,0.1,0.2,0,1,1,0,0
0,2,0,2,0,Hold,0.2,0.3,1,1,1,0,0
1,3,1,1,2,Murphy,0.8,0.4,1,1,1,0,1
1,3,1,0,2,Murphy,0.8,0.4,1,1,1,0,1
0,1,0,2,2,Minahan,0.1,0.3,3,1,2,1,3
1,1,1,2,2,Minahan,0.8,0.9,3,1,1,1,1
0,3,1,2,0,Rosblom,0.6,0.4,1,1,2,0,1
0,3,0,1,0,Rosblom,0.2,0.2,1,1,2,0,0
1,3,1,1,1,Touma,0.9,0.4,0,1,2,0,1
1,3,1,1,1,Touma,0.9,0.4,0,1,2,0,1
1,3,1,2,0,Abbott,0.6,0.4,1,1,2,0,1
0,3,0,0,0,Abbott,0.2,0.2,1,1,2,0,0
0,3,0,1,0,Olsson,0.2,0.2,0,0,0,0,0
0,3,1,1,0,Olsson,0.6,0.4,0,0,0,0,1
1,3,1,1,2,Connolly,0.8,0.4,0,0,0,0,1
0,1,1,0,0,Allison,0.6,0.9,3,1,3,1,1
1,1,0,0,0,Allison,0.2,0.3,3,1,3,1,2
0,1,1,1,0,Allison,0.6,0.9,3,1,3,1,1
1,3,1,1,2,Kelly,0.8,0.4,0,0,0,0,1
1,3,1,2,2,Kelly,0.8,0.4,0,0,0,0,1
0,3,0,2,0,Kelly,0.2,0.2,0,0,0,0,0
1,2,1,2,0,Kelly,0.6,1.0,0,0,0,0,1
1,3,0,1,2,McCoy,0.1,0.2,1,1,2,0,0
1,3,1,2,2,McCoy,0.8,0.4,1,1,2,0,1
1,2,1,1,2,Keane,0.8,1.0,0,0,0,1,1
0,3,0,0,2,Keane,0.1,0.2,0,0,0,0,0
1,1,1,2,1,Fleming,0.9,0.9,3,0,0,0,1
1,1,1,1,1,Hays,0.9,0.9,3,0,0,1,1
1,1,1,3,0,Hays,0.6,0.9,3,1,2,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
1,1,1,1,1,Ryerson,0.9,0.9,3,1,4,1,1
0,2,1,1,0,Lahtinen,0.6,1.0,1,1,2,0,1
1,3,1,1,0,Nilsson,0.6,0.4,0,0,0,0,1
1,3,1,1,0,Nilsson,0.6,0.4,0,0,0,0,1
1,1,1,1,0,Wick,0.6,0.9,3,1,2,1,1
1,1,1,2,0,Wick,0.6,0.9,3,1,2,0,1
1,1,1,2,1,Spedden,0.9,0.9,3,1,2,1,1
1,1,1,2,1,Spedden,0.9,0.9,3,1,2,1,1
0,3,0,1,0,Dennis,0.2,0.2,0,0,0,0,0
1,1,1,1,0,Frauenthal,0.6,0.9,3,1,1,0,1
1,1,0,3,0,Frauenthal,0.2,0.3,3,1,2,0,3
1,1,1,2,1,Burns,0.9,0.9,3,0,0,1,1
0,2,0,2,0,Fox,0.2,0.3,0,0,0,0,0
1,3,1,1,0,Davison,0.6,0.4,1,1,1,0,1
1,3,0,0,0,Coutts,0.2,0.2,1,1,2,0,2
1,3,0,0,0,Coutts,0.2,0.2,1,1,2,0,2
0,3,0,0,1,Elias,0.4,0.2,0,1,2,0,0
0,3,0,1,1,Elias,0.4,0.2,0,1,2,0,0
0,3,0,1,1,Elias,0.4,0.2,0,0,0,0,0
0,2,0,1,1,del Carlo,0.4,0.3,1,1,1,0,0
1,1,1,3,1,Warren,0.9,0.9,3,1,1,1,1
1,1,1,3,1,Warren,0.9,0.9,3,1,1,1,1
1,1,0,1,1,Harder,0.4,0.3,2,1,1,1,0
0,3,0,1,0,Wiklund,0.2,0.2,0,1,1,0,0
0,1,0,1,1,Widener,0.4,0.3,3,1,2,1,0
0,1,0,1,1,Widener,0.4,0.3,3,1,2,1,0
0,3,0,1,1,Betros,0.4,0.2,0,0,0,0,0
1,3,1,0,1,Nakid,0.9,0.4,1,1,2,0,1
1,3,0,1,1,Nakid,0.4,0.2,1,1,2,0,0
0,2,0,1,0,Davies,0.2,0.3,3,0,0,0,0
0,2,0,1,0,Davies,0.2,0.3,3,0,0,0,0
0,2,0,1,0,Davies,0.2,0.3,3,0,0,0,0
0,2,0,1,0,Davies,0.2,0.3,3,0,0,0,0
1,2,0,0,0,Davies,0.2,0.3,2,1,2,0,2
1,2,0,0,0,Davies,0.2,0.3,2,1,2,0,2
1,2,0,0,0,Davies,0.2,0.3,2,1,2,0,2
1,2,0,0,0,Davies,0.2,0.3,2,1,2,0,2
0,3,0,1,0,Davies,0.2,0.2,1,1,2,0,0
0,3,0,1,0,Davies,0.2,0.2,1,1,2,0,0
0,3,0,1,0,Davies,0.2,0.2,1,1,2,0,0
0,3,0,1,0,Davies,0.2,0.2,1,1,2,0,0
0,3,1,1,0,Oreskovic,0.6,0.4,0,0,0,0,1
0,3,0,1,0,Oreskovic,0.2,0.2,0,0,0,0,0
0,2,0,2,0,Gale,0.2,0.3,1,1,1,0,0
1,2,1,2,0,Drew,0.6,1.0,2,1,2,0,1
1,2,1,2,0,Drew,0.6,1.0,2,1,2,0,1
0,3,1,1,0,Danbom,0.6,0.4,0,1,2,0,1
0,3,0,2,0,Danbom,0.2,0.2,0,1,2,0,0
1,2,1,1,0,Clarke,0.6,1.0,1,1,1,0,1
1,2,1,1,0,Phillips,0.6,1.0,1,0,0,0,1
1,2,1,1,0,Phillips,0.6,1.0,1,0,0,0,1
1,2,1,2,0,Louch,0.6,1.0,1,1,1,0,1
1,1,0,0,0,Dodge,0.2,0.3,3,1,2,1,2
1,1,0,0,0,Dodge,0.2,0.3,3,1,2,1,2
1,1,1,1,0,Kenyon,0.6,0.9,2,1,1,1,1
0,3,0,0,2,O'Connor,0.1,0.2,0,0,0,0,0
0,3,0,2,0,Cacic,0.2,0.2,0,0,0,0,0
0,3,0,2,0,Cacic,0.2,0.2,0,0,0,0,0
0,3,1,1,0,Cacic,0.6,0.4,0,0,0,0,1
0,3,1,1,0,Cacic,0.6,0.4,0,0,0,0,1
0,3,0,1,0,Karlsson,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Karlsson,0.2,0.2,0,0,0,0,0
1,3,1,0,0,Hirvonen,0.6,0.4,0,1,1,0,1
0,3,0,1,0,Svensson,0.2,0.2,0,0,0,0,0
0,3,0,4,0,Svensson,0.2,0.2,0,0,0,0,0
0,3,1,1,2,Canavan,0.8,0.4,0,0,0,0,1
1,2,1,2,0,Quick,0.6,1.0,1,1,2,0,1
1,2,1,0,0,Quick,0.6,1.0,1,1,2,0,1
1,1,0,1,0,Bradley,0.2,0.3,1,0,0,0,0
1,3,0,1,2,Daly,0.1,0.2,0,0,0,0,0
1,1,0,3,0,Daly,0.2,0.3,1,0,0,1,0
1,1,1,3,1,Rothschild,0.9,0.9,3,1,1,0,1
0,3,0,0,2,Ryan,0.1,0.2,1,0,0,0,0
1,2,1,2,0,Angle,0.6,1.0,1,1,1,0,1
0,2,0,1,0,Hocking,0.2,0.3,0,1,3,0,0
0,2,0,1,0,Hocking,0.2,0.3,0,1,3,0,0
1,2,1,3,0,Hocking,0.6,1.0,1,1,4,0,1
1,2,1,3,0,Hocking,0.6,1.0,1,1,4,0,1
0,3,0,0,0,Risien,0.2,0.2,0,0,0,0,0
1,1,1,2,0,Crosby,0.6,0.9,3,1,2,1,1
0,1,0,4,0,Crosby,0.2,0.3,3,1,2,1,3
0,1,0,3,1,Douglas,0.4,0.3,3,1,1,1,0
0,1,0,3,1,Douglas,0.4,0.3,3,1,1,1,0
0,1,0,3,0,Wright,0.2,0.3,1,0,0,0,0
1,3,1,2,0,de Messemaeker,0.6,0.4,1,1,1,0,1
1,3,0,1,0,Jonsson,0.2,0.2,0,0,0,0,0
0,3,1,2,1,Caram,0.9,0.4,0,1,1,0,1
1,2,1,1,0,Christy,0.6,1.0,2,1,2,0,1
1,1,0,3,1,Frolicher-Stehli,0.4,0.3,3,1,2,1,0
0,2,0,2,0,Chapman,0.2,0.3,1,1,1,0,0
0,2,0,3,0,Chapman,0.2,0.3,0,0,0,0,0
0,3,0,2,0,Lindell,0.2,0.2,1,1,1,0,0
1,2,1,1,0,Herman,0.6,1.0,3,1,3,0,1
1,2,1,1,0,Herman,0.6,1.0,3,1,3,0,1
1,2,1,2,0,Herman,0.6,1.0,3,1,3,0,1
1,2,1,2,0,Herman,0.6,1.0,3,1,3,0,1
1,1,0,2,0,Kimball,0.2,0.3,2,1,1,1,0
0,3,0,1,0,Hansen,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Hansen,0.2,0.2,0,1,1,0,0
0,3,0,2,0,Hansen,0.2,0.2,0,1,2,0,0
0,3,0,1,0,Bowen,0.2,0.2,1,0,0,0,0
0,3,0,1,0,Cor,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Cor,0.2,0.2,0,0,0,0,0
0,3,0,2,0,Cook,0.2,0.2,0,0,0,0,0
0,1,0,1,0,Davidson,0.2,0.3,2,1,1,1,0
1,1,0,2,1,Cardeza,0.4,0.3,3,1,1,1,0
1,3,1,0,1,Karun,0.9,0.4,0,1,1,0,1
1,1,1,1,1,Astor,0.9,0.9,3,1,1,1,1
0,2,0,1,0,Bryhl,0.2,0.3,1,1,1,0,0
0,3,1,1,0,Ilmakangas,0.6,0.4,0,1,1,0,1
0,1,0,2,0,Cavendish,0.2,0.3,3,1,1,1,0
0,3,0,1,0,McNamee,0.2,0.2,1,1,1,0,0
0,1,0,1,0,Marvin,0.2,0.3,2,1,1,1,0
1,2,1,0,0,Wells,0.6,1.0,1,1,2,0,1
1,2,1,0,0,Wells,0.6,1.0,1,1,2,0,1
0,3,0,1,0,Carlsson,0.2,0.2,0,0,0,0,0
0,1,0,2,0,Carlsson,0.2,0.3,0,0,0,1,0
0,3,0,1,0,Johnston,0.2,0.2,1,1,3,0,0
0,3,0,1,0,Johnston,0.2,0.2,1,1,3,0,0
0,3,1,1,0,Johnston,0.6,0.4,1,1,3,0,1
0,3,1,0,0,Johnston,0.6,0.4,1,1,3,0,1
1,3,0,0,1,Thomas,0.4,0.2,0,1,1,0,2
1,3,0,0,1,Thomas,0.4,0.2,0,1,1,0,2
1,3,0,0,1,Thomas,0.4,0.2,0,1,1,0,2
1,3,0,0,1,Thomas,0.4,0.2,0,1,1,0,2
0,2,0,1,1,Mallet,0.4,0.3,2,1,2,0,0
1,2,0,0,1,Mallet,0.4,0.3,2,1,2,0,2
1,1,1,2,1,Compton,0.9,0.9,3,1,2,1,1
1,1,1,2,1,Compton,0.9,0.9,3,1,2,1,1
1,1,1,0,0,Lines,0.6,0.9,2,1,1,1,1
1,3,1,1,0,Aks,0.6,0.4,0,1,1,0,1
0,2,0,1,0,Giles,0.2,0.3,0,1,1,0,0
0,2,0,1,0,Giles,0.2,0.3,0,1,1,0,0
1,2,1,1,1,Duran y More,0.9,1.0,0,1,1,0,1
